iter	RMSE
0	0.6881543531
1	0.6713419826
2	0.6550131478
3	0.6382891313
4	0.6226140418
5	0.6087188484
6	0.593131714
7	0.5783730547
8	0.5637285076
9	0.5497697539
10	0.5365633893
11	0.5229444893
12	0.5098210864
13	0.4971538304
14	0.4851069292
15	0.4726720538
16	0.46103863
17	0.4493482485
18	0.4387008361
19	0.4282563919
20	0.4180526378
21	0.4077453039
22	0.3979376174
23	0.3880487003
24	0.37842462
25	0.3707234704
26	0.3621469221
27	0.3533547839
28	0.3456275377
29	0.3381751379
30	0.3298568905
31	0.3227394226
32	0.3155794248
33	0.3085239714
34	0.3025374603
35	0.2957756317
36	0.2895907483
37	0.2838303111
38	0.2776785479
39	0.2717663982
40	0.2663304296
41	0.2605860184
42	0.2549025815
43	0.249737271
44	0.2441258496
45	0.239754266
46	0.2353529508
47	0.2307666596
48	0.2271261713
49	0.2227181762
50	0.2181437133
51	0.2136252784
52	0.2095661829
53	0.2057574308
54	0.2020743517
55	0.1983738805
56	0.1952928235
57	0.1921478094
58	0.1889759559
59	0.1857889781
60	0.1825172346
61	0.1792991612
62	0.1768242665
63	0.1739613893
64	0.1712741987
65	0.1685024825
66	0.165949362
67	0.1638172969
68	0.1618018703
69	0.1595283591
70	0.1576065882
71	0.1552774518
72	0.1534715081
73	0.1513955525
74	0.150240512
75	0.1485430312
76	0.1465434837
77	0.1447718801
78	0.1428593277
79	0.1416016687
80	0.1399927507
81	0.1382974814
82	0.1368244662
83	0.1355796421
84	0.1341803068
85	0.1329946475
86	0.1318974366
87	0.1304774928
88	0.1295473179
89	0.1284449749
90	0.1271026145
91	0.1258537025
92	0.1251165367
93	0.124227496
94	0.1232890456
95	0.1223481789
96	0.1217343447
97	0.1211823525
98	0.120434316
99	0.1196997259
100	0.118905459
101	0.1183803342
102	0.1175591226
103	0.1170155654
104	0.1163476256
105	0.1160131327
106	0.1154784675
107	0.115119922
108	0.1145991516
109	0.1141284897
110	0.1136014074
111	0.1131277062
112	0.1126646711
113	0.1123116938
114	0.1120543044
